Location,Business Date,Revenue Center,Menu Group,Menu Item,Spirit Category,Qty Sold,Gross Sales,Item Cost,Net Sales,Void Qty,Void Amount,Comp Qty,Comp Amount,Avg Price
"Commonwealth",2025-10-01,Bar,"Beer - Draft","Corona Draft","Beer",30,240,54,240,0,0,0,0,8
"Commonwealth",2025-10-01,Bar,"Beer - Draft","Stella Artois Draft","Beer",20,180,44,180,0,0,0,0,9
"Commonwealth",2025-10-01,Bar,"Beer - Draft","Bud Light Draft","Beer",38,266,45.6,266,0,0,0,0,7
"Commonwealth",2025-10-01,Bar,"Beer - Draft","Local IPA Draft","Beer",17,153,40.8,153,0,0,0,0,9
"Commonwealth",2025-10-01,Bar,"Beer - Draft","Blue Moon Draft","Beer",14,112,25.2,112,0,0,0,0,8
"Commonwealth",2025-10-01,Bar,"Beer - Bottle/Can","Modelo Bottle","Beer",28,196,39.2,189,1,7,0,0,7
"Commonwealth",2025-10-01,Bar,"Beer - Bottle/Can","Corona Bottle","Beer",23,161,32.2,161,0,0,0,0,7
"Commonwealth",2025-10-01,Bar,"Beer - Bottle/Can","Bud Light Bottle","Beer",23,138,20.7,138,0,0,0,0,6
"Commonwealth",2025-10-01,Bar,"Beer - Bottle/Can","White Claw","Beer",18,144,28.8,144,0,0,0,0,8
"Commonwealth",2025-10-01,Bar,"Beer - Bottle/Can","Heineken Bottle","Beer",10,70,16,70,0,0,0,0,7
"Commonwealth",2025-10-01,Bar,"Wine","House Cabernet","Wine",12,144,28.8,144,0,0,0,0,12
"Commonwealth",2025-10-01,Bar,"Wine","House Chardonnay","Wine",13,156,31.2,156,0,0,0,0,12
"Commonwealth",2025-10-01,Bar,"Wine","Prosecco Glass","Wine",21,294,63,294,0,0,0,0,14
"Commonwealth",2025-10-01,Bar,"Wine","Rosé Glass","Wine",14,182,39.2,182,0,0,0,0,13
"Commonwealth",2025-10-01,Bar,"Champagne / Sparkling","Moët & Chandon Bottle","Champagne",5,900,225,900,0,0,0,0,180
"Commonwealth",2025-10-01,Bar,"Champagne / Sparkling","Veuve Clicquot Bottle","Champagne",3,660,165,660,0,0,0,0,220
"Commonwealth",2025-10-01,Bar,"Champagne / Sparkling","Prosecco Bottle","Champagne",8,384,96,384,0,0,0,0,48
"Commonwealth",2025-10-01,Bar,"Non-Alcoholic","Red Bull","Non-Alcoholic",21,126,42,126,0,0,0,0,6
"Commonwealth",2025-10-01,Bar,"Non-Alcoholic","Water Bottle","Non-Alcoholic",17,85,8.5,85,0,0,0,0,5
"Commonwealth",2025-10-01,Bar,"Non-Alcoholic","Soft Drink","Non-Alcoholic",13,52,3.9,52,0,0,0,0,4
"Laundry Room",2025-10-01,Bar,"Cocktails","Old Fashioned","Whiskey / Bourbon",7,112,28,112,0,0,0,0,16
"Laundry Room",2025-10-01,Bar,"Cocktails","Manhattan","Whiskey / Bourbon",5,85,24,85,0,0,0,0,17
"Laundry Room",2025-10-01,Bar,"Cocktails","Boulevardier","Whiskey / Bourbon",3,48,12.6,48,0,0,0,0,16
"Laundry Room",2025-10-01,Bar,"Cocktails","Whiskey Sour","Whiskey / Bourbon",3,45,10.5,45,0,0,0,0,15
"Laundry Room",2025-10-01,Bar,"Cocktails","Negroni","Gin",4,64,18,64,0,0,0,0,16
"Laundry Room",2025-10-01,Bar,"Cocktails","Espresso Martini","Vodka",3,51,13.5,51,0,0,0,0,17
"Laundry Room",2025-10-01,Bar,"Cocktails","Dirty Martini","Vodka",3,48,10.2,48,0,0,0,0,16
"Laundry Room",2025-10-01,Bar,"Cocktails","Aperol Spritz","Other Spirits",2,28,7.6,28,0,0,0,0,14
"Laundry Room",2025-10-01,Bar,"Cocktails","Cosmopolitan","Vodka",2,30,7,30,0,0,0,0,15
"Laundry Room",2025-10-01,Bar,"Cocktails","Oaxacan Old Fashioned","Tequila / Mezcal",2,36,10.4,36,0,0,0,0,18
"Laundry Room",2025-10-01,Bar,"Cocktails","Paloma","Tequila / Mezcal",1,15,3.5,15,0,0,0,0,15
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Macallan 12","Whiskey / Bourbon",5,110,30,110,0,0,0,0,22
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Macallan 18","Whiskey / Bourbon",2,110,40,110,0,0,0,0,55
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Woodford Reserve","Whiskey / Bourbon",3,45,10.8,45,0,0,0,0,15
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Maker's Mark","Whiskey / Bourbon",2,26,5.6,26,0,0,0,0,13
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Bulleit Bourbon","Whiskey / Bourbon",1,13,2.6,13,0,0,0,0,13
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Hendrick's","Gin",2,28,6.4,28,0,0,0,0,14
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Grey Goose","Vodka",2,30,6,30,0,0,0,0,15
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Belvedere","Vodka",2,30,6.4,30,0,0,0,0,15
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Don Julio 1942","Tequila / Mezcal",2,76,24,76,0,0,0,0,38
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Clase Azul Reposado","Tequila / Mezcal",1,45,15,45,0,0,0,0,45
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Casamigos Reposado","Tequila / Mezcal",1,16,3.8,16,0,0,0,0,16
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Del Maguey Vida Mezcal","Tequila / Mezcal",1,14,3.4,14,0,0,0,0,14
"Laundry Room",2025-10-01,Bar,"Spirits (Neat/Rocks)","Flor de Caña 12","Rum",1,14,3,14,0,0,0,0,14
"Laundry Room",2025-10-01,Bar,"Wine","House Cabernet","Wine",2,24,4.8,24,0,0,0,0,12
"Laundry Room",2025-10-01,Bar,"Wine","House Chardonnay","Wine",1,12,2.4,12,0,0,0,0,12
"Laundry Room",2025-10-01,Bar,"Wine","Prosecco Glass","Wine",2,28,6,28,0,0,0,0,14
"Laundry Room",2025-10-01,Bar,"Champagne / Sparkling","Veuve Clicquot Bottle","Champagne",1,220,55,220,0,0,0,0,220
"Laundry Room",2025-10-01,Bar,"Non-Alcoholic","Water Bottle","Non-Alcoholic",1,5,0.5,5,0,0,0,0,5
"We All Scream",2025-10-01,Bar,"Cocktails","Tito's Soda","Vodka",58,754,127.6,754,0,0,0,0,13
"We All Scream",2025-10-01,Bar,"Cocktails","Vodka Red Bull","Vodka",54,810,205.2,810,0,0,0,0,15
"We All Scream",2025-10-01,Bar,"Cocktails","Moscow Mule","Vodka",40,560,120,560,0,0,0,0,14
"We All Scream",2025-10-01,Bar,"Cocktails","Lemon Drop","Vodka",26,390,83.2,390,0,0,0,0,15
"We All Scream",2025-10-01,Bar,"Cocktails","Espresso Martini","Vodka",27,459,121.5,442,1,17,0,0,17
"We All Scream",2025-10-01,Bar,"Cocktails","Dirty Martini","Vodka",12,192,40.8,192,0,0,0,0,16
"We All Scream",2025-10-01,Bar,"Cocktails","Casamigos Margarita","Tequila / Mezcal",40,640,152,640,0,0,0,0,16
"We All Scream",2025-10-01,Bar,"Cocktails","Spicy Margarita","Tequila / Mezcal",32,544,134.4,544,0,0,0,0,17
"We All Scream",2025-10-01,Bar,"Cocktails","Ranch Water","Tequila / Mezcal",26,364,72.8,364,0,0,0,0,14
"We All Scream",2025-10-01,Bar,"Cocktails","Jack & Coke","Whiskey / Bourbon",42,504,100.8,504,0,0,0,0,12
"We All Scream",2025-10-01,Bar,"Shots","Fireball","Whiskey / Bourbon",43,344,51.6,344,0,0,0,0,8
"We All Scream",2025-10-01,Bar,"Shots","Jameson Shot","Whiskey / Bourbon",41,410,82,410,0,0,0,0,10
"We All Scream",2025-10-01,Bar,"Shots","Patron Shot","Tequila / Mezcal",47,564,122.2,564,0,0,0,0,12
"We All Scream",2025-10-01,Bar,"Shots","Casamigos Shot","Tequila / Mezcal",35,420,98,408,1,12,0,0,12
"We All Scream",2025-10-01,Bar,"Shots","Vegas Bomb","Other Spirits",34,340,95.2,340,0,0,0,0,10
"We All Scream",2025-10-01,Bar,"Shots","Jagermeister","Other Spirits",32,256,44.8,248,1,8,0,0,8
"We All Scream",2025-10-01,Bar,"Shots","Rumple Minze","Other Spirits",22,198,35.2,198,0,0,0,0,9
"We All Scream",2025-10-01,Bar,"Shots","Kamikaze","Vodka",14,126,22.4,126,0,0,0,0,9
"We All Scream",2025-10-01,Bar,"Shots","Lemon Drop Shot","Vodka",24,240,43.2,240,0,0,0,0,10
"We All Scream",2025-10-01,Bar,"Cocktails","Long Island Iced Tea","Other Spirits",43,688,129,688,0,0,0,0,16
"We All Scream",2025-10-01,Bar,"Cocktails","Mojito","Rum",18,252,50.4,238,0,0,1,14,14
"We All Scream",2025-10-01,Bar,"Cocktails","Rum Punch","Rum",24,312,60,312,0,0,0,0,13
"We All Scream",2025-10-01,Bar,"Beer - Draft","Modelo Especial Draft","Beer",71,568,127.8,568,0,0,0,0,8
"We All Scream",2025-10-01,Bar,"Beer - Draft","Corona Draft","Beer",49,392,88.2,392,0,0,0,0,8
"We All Scream",2025-10-01,Bar,"Beer - Draft","Bud Light Draft","Beer",58,406,69.6,406,0,0,0,0,7
"We All Scream",2025-10-01,Bar,"Beer - Draft","Dos Equis Draft","Beer",29,232,46.4,232,0,0,0,0,8
"We All Scream",2025-10-01,Bar,"Beer - Draft","Blue Moon Draft","Beer",22,176,39.6,176,0,0,0,0,8
"We All Scream",2025-10-01,Bar,"Beer - Bottle/Can","Modelo Bottle","Beer",60,420,84,420,0,0,0,0,7
"We All Scream",2025-10-01,Bar,"Beer - Bottle/Can","Corona Bottle","Beer",45,315,63,315,0,0,0,0,7
"We All Scream",2025-10-01,Bar,"Beer - Bottle/Can","Bud Light Bottle","Beer",42,252,37.8,252,0,0,0,0,6
"We All Scream",2025-10-01,Bar,"Beer - Bottle/Can","Pacifico Bottle","Beer",25,175,35,175,0,0,0,0,7
"We All Scream",2025-10-01,Bar,"Beer - Bottle/Can","White Claw","Beer",40,320,64,320,0,0,0,0,8
"We All Scream",2025-10-01,Bar,"Beer - Bottle/Can","Michelob Ultra","Beer",18,126,19.8,126,0,0,0,0,7
"We All Scream",2025-10-01,Bar,"Frozen Cocktails","Frozen Margarita","Tequila / Mezcal",28,392,78.4,392,0,0,0,0,14
"We All Scream",2025-10-01,Bar,"Frozen Cocktails","Frosé","Other Spirits",22,308,70.4,308,0,0,0,0,14
"We All Scream",2025-10-01,Bar,"Non-Alcoholic","Red Bull","Non-Alcoholic",46,276,92,276,0,0,0,0,6
"We All Scream",2025-10-01,Bar,"Non-Alcoholic","Red Bull (Standalone)","Non-Alcoholic",21,147,42,147,0,0,0,0,7
"We All Scream",2025-10-01,Bar,"Non-Alcoholic","Water Bottle","Non-Alcoholic",38,190,19,190,0,0,0,0,5
"We All Scream",2025-10-01,Bar,"Non-Alcoholic","Liquid Death","Non-Alcoholic",14,84,16.8,84,0,0,0,0,6
"We All Scream",2025-10-01,Bar,"Champagne / Sparkling","Moët & Chandon Bottle","Champagne",10,1800,450,1800,0,0,0,0,180
"We All Scream",2025-10-01,Bar,"Champagne / Sparkling","Veuve Clicquot Bottle","Champagne",7,1540,385,1540,0,0,0,0,220
"We All Scream",2025-10-01,Bar,"Champagne / Sparkling","Dom Pérignon Bottle","Champagne",3,1350,450,1350,0,0,0,0,450
"Discopussy",2025-10-01,Bar,"Cocktails","Vodka Red Bull","Vodka",62,930,235.6,930,0,0,0,0,15
"Discopussy",2025-10-01,Bar,"Cocktails","Tito's Soda","Vodka",40,520,88,520,0,0,0,0,13
"Discopussy",2025-10-01,Bar,"Cocktails","Moscow Mule","Vodka",23,322,69,322,0,0,0,0,14
"Discopussy",2025-10-01,Bar,"Cocktails","Espresso Martini","Vodka",27,459,121.5,459,0,0,0,0,17
"Discopussy",2025-10-01,Bar,"Cocktails","Lemon Drop","Vodka",20,300,64,300,0,0,0,0,15
"Discopussy",2025-10-01,Bar,"Cocktails","Casamigos Margarita","Tequila / Mezcal",26,416,98.8,416,0,0,0,0,16
"Discopussy",2025-10-01,Bar,"Cocktails","Spicy Margarita","Tequila / Mezcal",20,340,84,340,0,0,0,0,17
"Discopussy",2025-10-01,Bar,"Cocktails","Ranch Water","Tequila / Mezcal",16,224,44.8,224,0,0,0,0,14
"Discopussy",2025-10-01,Bar,"Cocktails","Jack & Coke","Whiskey / Bourbon",26,312,62.4,312,0,0,0,0,12
"Discopussy",2025-10-01,Bar,"Shots","Fireball","Whiskey / Bourbon",37,296,44.4,296,0,0,0,0,8
"Discopussy",2025-10-01,Bar,"Shots","Jameson Shot","Whiskey / Bourbon",26,260,52,260,0,0,0,0,10
"Discopussy",2025-10-01,Bar,"Shots","Patron Shot","Tequila / Mezcal",21,252,54.6,252,0,0,0,0,12
"Discopussy",2025-10-01,Bar,"Shots","Casamigos Shot","Tequila / Mezcal",18,216,50.4,216,0,0,0,0,12
"Discopussy",2025-10-01,Bar,"Shots","Vegas Bomb","Other Spirits",31,310,86.8,310,0,0,0,0,10
"Discopussy",2025-10-01,Bar,"Shots","Jagermeister","Other Spirits",32,256,44.8,256,0,0,0,0,8
"Discopussy",2025-10-01,Bar,"Shots","Rumple Minze","Other Spirits",16,144,25.6,144,0,0,0,0,9
"Discopussy",2025-10-01,Bar,"Shots","Kamikaze","Vodka",12,108,19.2,99,1,9,0,0,9
"Discopussy",2025-10-01,Bar,"Shots","Lemon Drop Shot","Vodka",15,150,27,140,0,0,1,10,10
"Discopussy",2025-10-01,Bar,"Cocktails","Long Island Iced Tea","Other Spirits",20,320,60,320,0,0,0,0,16
"Discopussy",2025-10-01,Bar,"Beer - Draft","Modelo Especial Draft","Beer",39,312,70.2,312,0,0,0,0,8
"Discopussy",2025-10-01,Bar,"Beer - Draft","Corona Draft","Beer",25,200,45,200,0,0,0,0,8
"Discopussy",2025-10-01,Bar,"Beer - Draft","Bud Light Draft","Beer",38,266,45.6,266,0,0,0,0,7
"Discopussy",2025-10-01,Bar,"Beer - Bottle/Can","Modelo Bottle","Beer",30,210,42,210,0,0,0,0,7
"Discopussy",2025-10-01,Bar,"Beer - Bottle/Can","Corona Bottle","Beer",20,140,28,140,0,0,0,0,7
"Discopussy",2025-10-01,Bar,"Beer - Bottle/Can","Bud Light Bottle","Beer",26,156,23.4,156,0,0,0,0,6
"Discopussy",2025-10-01,Bar,"Beer - Bottle/Can","White Claw","Beer",27,216,43.2,216,0,0,0,0,8
"Discopussy",2025-10-01,Bar,"Beer - Bottle/Can","Michelob Ultra","Beer",9,63,9.9,63,0,0,0,0,7
"Discopussy",2025-10-01,Bar,"Non-Alcoholic","Red Bull","Non-Alcoholic",33,198,66,198,0,0,0,0,6
"Discopussy",2025-10-01,Bar,"Non-Alcoholic","Red Bull (Standalone)","Non-Alcoholic",17,119,34,119,0,0,0,0,7
"Discopussy",2025-10-01,Bar,"Non-Alcoholic","Water Bottle","Non-Alcoholic",22,110,11,110,0,0,0,0,5
"Discopussy",2025-10-01,Bar,"Non-Alcoholic","Liquid Death","Non-Alcoholic",14,84,16.8,84,0,0,0,0,6
"Discopussy",2025-10-01,Bar,"Champagne / Sparkling","Moët & Chandon Bottle","Champagne",5,900,225,900,0,0,0,0,180
"Discopussy",2025-10-01,Bar,"Champagne / Sparkling","Veuve Clicquot Bottle","Champagne",3,660,165,660,0,0,0,0,220
"Lucky Day",2025-10-01,Bar,"Cocktails","Casamigos Margarita","Tequila / Mezcal",29,464,110.2,464,0,0,0,0,16
"Lucky Day",2025-10-01,Bar,"Cocktails","Spicy Margarita","Tequila / Mezcal",35,595,147,595,0,0,0,0,17
"Lucky Day",2025-10-01,Bar,"Cocktails","Paloma","Tequila / Mezcal",25,375,87.5,375,0,0,0,0,15
"Lucky Day",2025-10-01,Bar,"Cocktails","Ranch Water","Tequila / Mezcal",24,336,67.2,336,0,0,0,0,14
"Lucky Day",2025-10-01,Bar,"Cocktails","Mezcal Mule","Tequila / Mezcal",20,320,80,320,0,0,0,0,16
"Lucky Day",2025-10-01,Bar,"Cocktails","Oaxacan Old Fashioned","Tequila / Mezcal",17,306,88.4,306,0,0,0,0,18
"Lucky Day",2025-10-01,Bar,"Frozen Cocktails","Frozen Margarita","Tequila / Mezcal",21,294,58.8,294,0,0,0,0,14
"Lucky Day",2025-10-01,Bar,"Spirits (Neat/Rocks)","Casamigos Blanco","Tequila / Mezcal",23,322,73.6,322,0,0,0,0,14
"Lucky Day",2025-10-01,Bar,"Spirits (Neat/Rocks)","Casamigos Reposado","Tequila / Mezcal",18,288,68.4,288,0,0,0,0,16
"Lucky Day",2025-10-01,Bar,"Spirits (Neat/Rocks)","Don Julio 1942","Tequila / Mezcal",13,494,156,494,0,0,0,0,38
"Lucky Day",2025-10-01,Bar,"Spirits (Neat/Rocks)","Clase Azul Reposado","Tequila / Mezcal",12,540,180,540,0,0,0,0,45
"Lucky Day",2025-10-01,Bar,"Spirits (Neat/Rocks)","Patron Silver","Tequila / Mezcal",21,294,63,294,0,0,0,0,14
"Lucky Day",2025-10-01,Bar,"Spirits (Neat/Rocks)","Del Maguey Vida Mezcal","Tequila / Mezcal",18,252,61.2,252,0,0,0,0,14
"Lucky Day",2025-10-01,Bar,"Shots","Patron Shot","Tequila / Mezcal",24,288,62.4,288,0,0,0,0,12
"Lucky Day",2025-10-01,Bar,"Shots","Casamigos Shot","Tequila / Mezcal",20,240,56,240,0,0,0,0,12
"Lucky Day",2025-10-01,Bar,"Shots","Don Julio Shot","Tequila / Mezcal",17,238,57.8,238,0,0,0,0,14
"Lucky Day",2025-10-01,Bar,"Cocktails","Tito's Soda","Vodka",9,117,19.8,117,0,0,0,0,13
"Lucky Day",2025-10-01,Bar,"Cocktails","Moscow Mule","Vodka",5,70,15,70,0,0,0,0,14
"Lucky Day",2025-10-01,Bar,"Cocktails","Old Fashioned","Whiskey / Bourbon",5,80,20,80,0,0,0,0,16
"Lucky Day",2025-10-01,Bar,"Cocktails","Jack & Coke","Whiskey / Bourbon",6,72,14.4,72,0,0,0,0,12
"Lucky Day",2025-10-01,Bar,"Shots","Fireball","Whiskey / Bourbon",6,48,7.2,48,0,0,0,0,8
"Lucky Day",2025-10-01,Bar,"Beer - Draft","Modelo Especial Draft","Beer",14,112,25.2,112,0,0,0,0,8
"Lucky Day",2025-10-01,Bar,"Beer - Draft","Corona Draft","Beer",11,88,19.8,88,0,0,0,0,8
"Lucky Day",2025-10-01,Bar,"Beer - Draft","Dos Equis Draft","Beer",17,136,27.2,136,0,0,0,0,8
"Lucky Day",2025-10-01,Bar,"Beer - Bottle/Can","Modelo Bottle","Beer",12,84,16.8,84,0,0,0,0,7
"Lucky Day",2025-10-01,Bar,"Beer - Bottle/Can","Corona Bottle","Beer",11,77,15.4,77,0,0,0,0,7
"Lucky Day",2025-10-01,Bar,"Beer - Bottle/Can","Pacifico Bottle","Beer",10,70,14,70,0,0,0,0,7
"Lucky Day",2025-10-01,Bar,"Beer - Bottle/Can","Dos Equis Bottle","Beer",9,63,10.8,63,0,0,0,0,7
"Lucky Day",2025-10-01,Bar,"Beer - Bottle/Can","Tecate","Beer",9,54,9,54,0,0,0,0,6
"Lucky Day",2025-10-01,Bar,"Beer - Bottle/Can","Negra Modelo","Beer",8,56,11.2,56,0,0,0,0,7
"Lucky Day",2025-10-01,Bar,"Wine","House Malbec","Wine",4,52,10.4,52,0,0,0,0,13
"Lucky Day",2025-10-01,Bar,"Wine","Prosecco Glass","Wine",3,42,9,42,0,0,0,0,14
"Lucky Day",2025-10-01,Bar,"Non-Alcoholic","Water Bottle","Non-Alcoholic",6,30,3,30,0,0,0,0,5
"Lucky Day",2025-10-01,Bar,"Non-Alcoholic","Soft Drink","Non-Alcoholic",6,24,1.8,24,0,0,0,0,4
"Park On Fremont",2025-10-01,Bar,"Cocktails","Casamigos Margarita","Tequila / Mezcal",19,304,72.2,304,0,0,0,0,16
"Park On Fremont",2025-10-01,Bar,"Cocktails","Spicy Margarita","Tequila / Mezcal",19,323,79.8,323,0,0,0,0,17
"Park On Fremont",2025-10-01,Bar,"Cocktails","Paloma","Tequila / Mezcal",15,225,52.5,225,0,0,0,0,15
"Park On Fremont",2025-10-01,Bar,"Cocktails","Ranch Water","Tequila / Mezcal",20,280,56,280,0,0,0,0,14
"Park On Fremont",2025-10-01,Bar,"Cocktails","Tito's Soda","Vodka",23,299,50.6,299,0,0,0,0,13
"Park On Fremont",2025-10-01,Bar,"Cocktails","Moscow Mule","Vodka",16,224,48,224,0,0,0,0,14
"Park On Fremont",2025-10-01,Bar,"Cocktails","Old Fashioned","Whiskey / Bourbon",14,224,56,224,0,0,0,0,16
"Park On Fremont",2025-10-01,Bar,"Cocktails","Whiskey Sour","Whiskey / Bourbon",13,195,45.5,195,0,0,0,0,15
"Park On Fremont",2025-10-01,Bar,"Cocktails","Jack & Coke","Whiskey / Bourbon",20,240,48,240,0,0,0,0,12
"Park On Fremont",2025-10-01,Bar,"Cocktails","Mojito","Rum",10,140,28,140,0,0,0,0,14
"Park On Fremont",2025-10-01,Bar,"Cocktails","Dark & Stormy","Rum",10,140,30,140,0,0,0,0,14
"Park On Fremont",2025-10-01,Bar,"Cocktails","Gin & Tonic","Gin",11,143,28.6,143,0,0,0,0,13
"Park On Fremont",2025-10-01,Bar,"Cocktails","Aperol Spritz","Other Spirits",14,196,53.2,196,0,0,0,0,14
"Park On Fremont",2025-10-01,Bar,"Shots","Fireball","Whiskey / Bourbon",13,104,15.6,104,0,0,0,0,8
"Park On Fremont",2025-10-01,Bar,"Shots","Jameson Shot","Whiskey / Bourbon",10,100,20,100,0,0,0,0,10
"Park On Fremont",2025-10-01,Bar,"Beer - Draft","Modelo Especial Draft","Beer",42,336,75.6,336,0,0,0,0,8
"Park On Fremont",2025-10-01,Bar,"Beer - Draft","Corona Draft","Beer",36,288,64.8,288,0,0,0,0,8
"Park On Fremont",2025-10-01,Bar,"Beer - Draft","Stella Artois Draft","Beer",19,171,41.8,171,0,0,0,0,9
"Park On Fremont",2025-10-01,Bar,"Beer - Draft","Bud Light Draft","Beer",31,217,37.2,217,0,0,0,0,7
"Park On Fremont",2025-10-01,Bar,"Beer - Draft","Local IPA Draft","Beer",21,189,50.4,189,0,0,0,0,9
"Park On Fremont",2025-10-01,Bar,"Beer - Draft","Blue Moon Draft","Beer",17,136,30.6,136,0,0,0,0,8
"Park On Fremont",2025-10-01,Bar,"Beer - Draft","Dos Equis Draft","Beer",15,120,24,112,1,8,0,0,8
"Park On Fremont",2025-10-01,Bar,"Beer - Draft","Guinness Draft","Beer",8,72,20.8,72,0,0,0,0,9
"Park On Fremont",2025-10-01,Bar,"Beer - Bottle/Can","Modelo Bottle","Beer",34,238,47.6,238,0,0,0,0,7
"Park On Fremont",2025-10-01,Bar,"Beer - Bottle/Can","Corona Bottle","Beer",31,217,43.4,217,0,0,0,0,7
"Park On Fremont",2025-10-01,Bar,"Beer - Bottle/Can","Pacifico Bottle","Beer",16,112,22.4,105,0,0,1,7,7
"Park On Fremont",2025-10-01,Bar,"Beer - Bottle/Can","Bud Light Bottle","Beer",25,150,22.5,150,0,0,0,0,6
"Park On Fremont",2025-10-01,Bar,"Beer - Bottle/Can","Michelob Ultra","Beer",13,91,14.3,91,0,0,0,0,7
"Park On Fremont",2025-10-01,Bar,"Beer - Bottle/Can","Heineken Bottle","Beer",10,70,16,70,0,0,0,0,7
"Park On Fremont",2025-10-01,Bar,"Beer - Bottle/Can","White Claw","Beer",19,152,30.4,152,0,0,0,0,8
"Park On Fremont",2025-10-01,Bar,"Wine","House Cabernet","Wine",18,216,43.2,216,0,0,0,0,12
"Park On Fremont",2025-10-01,Bar,"Wine","House Chardonnay","Wine",21,252,50.4,252,0,0,0,0,12
